alert_id,farmer_id,parcel_id,channel,language,severity,message_en,sent_timestamp_utc,delivery_status,source
3cd7d73c-1298-4f29-ac44-54a3c74ed8da,cbd66803-98bf-4cd3-9946-ab5e06f55a2c,b0bdaee7-3005-443a-9554-fc6e6efccdde,App,Local,Info,New crop advisory for your region,2025-11-24T00:21:02.549196Z,Sent,alert_service
3bf5c06d-f946-48f8-9b46-83b6c9bf7266,5c5cad40-27e7-4f32-b2aa-3ccc2bbf8723,2e32cc46-9bd6-4e84-915e-4daa9d42cc7a,WhatsApp,English,Critical,River level critically high - prepare emergency measures,2025-11-16T18:21:02.549833Z,Failed,alert_service
ab5ef4d6-c5ca-4da4-948f-c07921d78974,bbca5f7a-8f6e-4d7c-ab62-0bfc09dbadd2,d916bebc-9c0e-4339-8298-aeece5bd6610,WhatsApp,Local,Info,New crop advisory for your region,2025-11-03T09:21:02.550283Z,Sent,alert_service
1b5f04c6-d9fc-4181-b7c8-3d10cdc68f4b,3639e248-5a79-4719-8f9e-4a203cb825aa,0bb3aa16-d4bc-4559-8631-ad7edda80868,USSD,English,Info,Planting season recommendations available,2025-11-16T11:21:02.550609Z,Sent,alert_service
4b7908c3-b739-44af-a0bb-422d8359982e,4500e8ba-e598-48b7-88ef-fe5a3b1b5174,4c5bdaed-b211-42b0-9415-552ff0f7b330,SMS,English,Info,New crop advisory for your region,2025-11-19T22:21:02.550926Z,Sent,alert_service
b962661b-c384-4e16-845f-7d73022385b3,5bb969f8-a2c9-4191-b95f-dd33fa0c6ffa,f9887511-fd80-4b47-95f3-bcb32447923e,WhatsApp,Kiswahili,Info,New crop advisory for your region,2025-11-12T00:21:02.551241Z,Sent,alert_service
070d3d03-679b-410b-aa0b-09556e1a6246,3306a5b2-2fb0-431c-8187-fb91e97cdfa4,70139a43-1160-4d78-995e-c7f438ef1e1a,USSD,English,Warning,Moderate flood risk - monitor weather updates,2025-11-09T11:21:02.551746Z,Sent,alert_service
a0657adc-76a4-43c3-ac6b-c7bcaf63970d,4f7b507d-acae-4fcf-8013-8e2209cb8e1f,19ef6ae2-c87b-4c90-918c-e8558909a600,App,Local,Critical,Flash flood warning - evacuate livestock immediately,2025-11-04T19:21:02.552328Z,Queued,alert_service
bcb36c21-5354-4a5b-8fa9-76a914f96526,03a90be2-2dfb-4c51-89b3-b935b7626607,ca20e1cd-65b4-4bda-a58f-4ed10ce50dd3,App,English,Critical,Severe flooding expected in your area within 24 hours,2025-11-15T12:21:02.552862Z,Sent,alert_service
7c099b70-f0d5-4e7d-8640-17148c71f3c2,1356872c-9b04-4dd9-8c9c-f49451b5954a,7b91e4c3-e11c-4c17-98d7-a90a3e918484,USSD,English,Critical,Severe flooding expected in your area within 24 hours,2025-11-24T13:21:02.553464Z,Sent,alert_service
