recommendation_id,parcel_id,county,recommendation_timestamp_utc,recommended_crop_id,recommended_crop_name,confidence_score,rationale_en,season_window,practice_notes,model_version,source
8c2803d3-6603-4bf4-be33-4b9da826dab0,aeeca1b9-fe4a-456e-89d4-41228e41f774,Kwale,2025-11-21T21:55:13.067227Z,a9aca2f7-66cc-4ae9-904b-79dd3c286a50,Sorghum,0.722,Recommended Sorghum for Kwale due to soil type and climate compatibility,Long rains (MAM),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
1c60ebdf-b119-402f-844c-9025dc1d8aab,03e64c24-04bb-4c5e-be88-06e83a85a02d,Wajir,2025-11-08T21:55:13.068507Z,66043aea-9e99-4e52-92ed-028ee0c6544a,Rice,0.684,Recommended Rice for Wajir due to soil type and climate compatibility,Long rains (MAM),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
127cec2d-4c3d-4bb8-8346-2b7ccf74953b,622767c5-304e-4ae1-8408-e5c06caf564d,Lamu,2025-11-13T21:55:13.069469Z,879c2852-6d58-4a80-a7cd-a0f6fc05885f,Beans,0.823,Recommended Beans for Lamu due to soil type and climate compatibility,Long rains (MAM),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
a8806c01-03ba-4786-8717-2d44301cb1fe,0725cb2b-d488-4e14-8cd3-8d09a2e0db18,Homa Bay,2025-11-09T21:55:13.070375Z,191a947c-3e17-4ea7-8e92-388f32c1da42,Arrowroot,1.0,Recommended Arrowroot for Homa Bay due to soil type and climate compatibility,Short rains (OND),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
4748f328-de8c-4b87-858b-04bad6fbf2cc,8d47e60d-368c-4893-8a83-6cacca91f05f,Siaya,2025-11-04T21:55:13.071291Z,8775e5b7-159a-4859-a3b8-5c35fb05dcf7,Beans,0.633,Recommended Beans for Siaya due to soil type and climate compatibility,Long rains (MAM),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
d7157e35-ae96-4720-8da5-f18066c25a44,6ae72d5e-37e6-4801-9cf0-c1471ce39a28,Trans Nzoia,2025-10-29T21:55:13.072199Z,705c930d-d612-46ae-aa6c-187f0dfe7b2b,Finger Millet,0.609,Recommended Finger Millet for Trans Nzoia due to soil type and climate compatibility,Short rains (OND),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
8a3bd970-c1ec-41bc-b713-99a09b4d5b8b,6e75015d-1e5c-4aee-908b-2e8c66a73041,Nyamira,2025-11-06T21:55:13.073108Z,65305836-62b6-4e36-bdd0-38307071a6be,Arrowroot,0.71,Recommended Arrowroot for Nyamira due to soil type and climate compatibility,Short rains (OND),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
6b765de2-3895-4012-ade7-234768369bba,d42455a9-1b82-467a-b8b8-0983a776984d,Bungoma,2025-11-09T21:55:13.074007Z,e1c591d9-f835-4769-b541-ce1d19830763,Sorghum,0.861,Recommended Sorghum for Bungoma due to soil type and climate compatibility,Short rains (OND),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
d0f10409-b52e-477e-9f9a-474dba407503,78dd5055-a714-42ff-98f4-cc0bd9f1f37e,Kisii,2025-11-26T21:55:13.074912Z,040c2384-367a-4420-8ba7-3e347de7f331,Beans,0.6,Recommended Beans for Kisii due to soil type and climate compatibility,Short rains (OND),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
c29c4063-fd7b-4eec-b19e-beb8358dd5f4,19e861e5-aaf7-4d16-8ea9-f8b47cfcb7c8,Kiambu,2025-11-03T21:55:13.075818Z,879c2852-6d58-4a80-a7cd-a0f6fc05885f,Beans,0.681,Recommended Beans for Kiambu due to soil type and climate compatibility,Long rains (MAM),Apply recommended practices for AEZ,1.0.0,crop_recommendation_engine_v1
