forecast_id,parcel_id,county,forecast_timestamp_utc,target_window_start_utc,target_window_end_utc,flood_risk_score,risk_class,top_features,model_version,source
d34151f0-4508-4bee-8db4-ec0210e64495,82c95648-4688-4445-ad39-6292bc085219,Kiambu,2025-11-27T22:21:01.151152Z,2025-12-02T22:21:01.151152Z,2025-12-30T22:21:01.151152Z,0.203,Low,"{""rainfall_intensity"": 0.83, ""river_level"": 0.92, ""soil_moisture"": 0.2, ""land_slope"": 0.72, ""historical_flood_frequency"": 0.73}",1.0.0,flood_risk_model_v1
474432b0-66ed-4443-bc11-0a9e75124670,791118b5-811a-42f8-95e1-620c6955f78f,Meru,2025-11-20T22:21:01.151779Z,2025-11-22T22:21:01.151779Z,2025-11-29T22:21:01.151779Z,0.214,Low,"{""rainfall_intensity"": 0.54, ""river_level"": 1.0, ""soil_moisture"": 0.54, ""land_slope"": 0.61, ""historical_flood_frequency"": 0.77}",1.0.0,flood_risk_model_v1
590169c2-3cf8-43ea-be7b-a63b280ec448,b883390d-73b6-464c-8668-6a35b1a71aba,Busia,2025-11-18T22:21:01.152195Z,2025-11-21T22:21:01.152195Z,2025-12-11T22:21:01.152195Z,0.355,Low,"{""rainfall_intensity"": 0.78, ""river_level"": 0.31, ""soil_moisture"": 0.61, ""land_slope"": 0.59, ""historical_flood_frequency"": 0.17}",1.0.0,flood_risk_model_v1
a71dc88d-d192-4220-91df-31df1d0b2385,9a3571c1-1f98-489c-b86c-551e48d03c05,Lamu,2025-10-28T22:21:01.152582Z,2025-11-04T22:21:01.152582Z,2025-12-04T22:21:01.152582Z,0.249,Low,"{""rainfall_intensity"": 0.59, ""river_level"": 0.72, ""soil_moisture"": 0.86, ""land_slope"": 0.17, ""historical_flood_frequency"": 0.18}",1.0.0,flood_risk_model_v1
2e0d30cb-1fa2-4bed-ad96-0e1d4807fcaf,88dbc4c0-4cf4-4043-bf2a-20195ec006ea,Kajiado,2025-11-08T22:21:01.153064Z,2025-11-13T22:21:01.153064Z,2025-12-01T22:21:01.153064Z,0.376,Low,"{""rainfall_intensity"": 0.62, ""river_level"": 0.61, ""soil_moisture"": 0.57, ""land_slope"": 0.59, ""historical_flood_frequency"": 0.92}",1.0.0,flood_risk_model_v1
c5848829-04bb-45f7-b5b2-59199b5798d3,3020f63b-842e-4353-b54d-601bd062b9c8,Kajiado,2025-11-24T22:21:01.153494Z,2025-11-27T22:21:01.153494Z,2025-12-25T22:21:01.153494Z,0.197,Low,"{""rainfall_intensity"": 0.56, ""river_level"": 0.88, ""soil_moisture"": 0.45, ""land_slope"": 0.78, ""historical_flood_frequency"": 0.63}",1.0.0,flood_risk_model_v1
193516c6-daa4-416a-833e-094d5fa0db6f,58264ab5-0f9f-4dc2-ac4a-2a248a2ecf85,Murang'a,2025-10-30T22:21:01.153885Z,2025-10-31T22:21:01.153885Z,2025-11-21T22:21:01.153885Z,0.15,Low,"{""rainfall_intensity"": 0.76, ""river_level"": 0.88, ""soil_moisture"": 0.8, ""land_slope"": 0.35, ""historical_flood_frequency"": 0.22}",1.0.0,flood_risk_model_v1
024cf690-fa89-47ca-b173-5cbd847c4fcb,3f7caaa1-fdc4-435e-8fc4-ad18d0d40670,Elgeyo Marakwet,2025-11-10T22:21:01.154488Z,2025-11-15T22:21:01.154488Z,2025-12-15T22:21:01.154488Z,0.07,Low,"{""rainfall_intensity"": 0.75, ""river_level"": 0.9, ""soil_moisture"": 0.74, ""land_slope"": 0.32, ""historical_flood_frequency"": 0.2}",1.0.0,flood_risk_model_v1
3d581aa5-e98d-4d68-afa7-aba074589592,d4df6771-c8cc-433f-a48b-ef1bc233cf2a,Bungoma,2025-11-03T22:21:01.155042Z,2025-11-06T22:21:01.155042Z,2025-11-23T22:21:01.155042Z,0.677,Medium,"{""rainfall_intensity"": 0.66, ""river_level"": 0.87, ""soil_moisture"": 0.46, ""land_slope"": 0.56, ""historical_flood_frequency"": 0.86}",1.0.0,flood_risk_model_v1
4d8fdf85-cddf-46e6-9767-74e3228cd02c,c1c843c9-7f53-468b-a62a-d3d59782c332,Kiambu,2025-11-18T22:21:01.155468Z,2025-11-25T22:21:01.155468Z,2025-12-19T22:21:01.155468Z,0.331,Low,"{""rainfall_intensity"": 0.56, ""river_level"": 0.88, ""soil_moisture"": 0.57, ""land_slope"": 0.48, ""historical_flood_frequency"": 0.82}",1.0.0,flood_risk_model_v1
c3f9d9b6-44ce-4de3-a241-073969a12842,3e26eba9-1b5b-40fe-a427-d517cfd415f7,Nyamira,2025-11-01T22:21:01.155862Z,2025-11-08T22:21:01.155862Z,2025-11-24T22:21:01.155862Z,0.667,Medium,"{""rainfall_intensity"": 0.63, ""river_level"": 0.69, ""soil_moisture"": 0.26, ""land_slope"": 0.35, ""historical_flood_frequency"": 0.57}",1.0.0,flood_risk_model_v1
197f2e5f-d7bd-40f3-aca4-37e8ff0823af,39cae69d-3371-406b-b53b-6f742df2d37d,Garissa,2025-10-28T22:21:01.156269Z,2025-10-29T22:21:01.156269Z,2025-11-21T22:21:01.156269Z,0.399,Low,"{""rainfall_intensity"": 0.95, ""river_level"": 0.32, ""soil_moisture"": 0.57, ""land_slope"": 0.62, ""historical_flood_frequency"": 0.65}",1.0.0,flood_risk_model_v1
2795546d-00d8-4aa6-9672-7ed474ea6ba4,f5829bff-efa9-4cfa-b84e-4c33fb7c1e49,Mbeere,2025-11-20T22:21:01.156647Z,2025-11-25T22:21:01.156647Z,2025-12-20T22:21:01.156647Z,0.649,Medium,"{""rainfall_intensity"": 0.99, ""river_level"": 0.46, ""soil_moisture"": 0.22, ""land_slope"": 0.77, ""historical_flood_frequency"": 0.89}",1.0.0,flood_risk_model_v1
5c9aad9a-ecbe-4674-83a9-798afa4b4907,f62c2777-ecf0-4b64-a426-7a767dad51de,Wajir,2025-11-03T22:21:01.157022Z,2025-11-05T22:21:01.157022Z,2025-12-05T22:21:01.157022Z,0.423,Medium,"{""rainfall_intensity"": 0.92, ""river_level"": 0.98, ""soil_moisture"": 0.56, ""land_slope"": 0.44, ""historical_flood_frequency"": 0.49}",1.0.0,flood_risk_model_v1
37c0b977-5964-4d67-a2ad-b960f3f5f2f2,54a7ee24-70ed-4e28-a90b-c271cede7b89,Taita Taveta,2025-10-29T22:21:01.157402Z,2025-11-02T22:21:01.157402Z,2025-11-28T22:21:01.157402Z,0.291,Low,"{""rainfall_intensity"": 0.78, ""river_level"": 0.63, ""soil_moisture"": 0.75, ""land_slope"": 0.31, ""historical_flood_frequency"": 0.91}",1.0.0,flood_risk_model_v1
